Hours_Studied,Marks
4.49,21.08
11.41,80.02
8.78,74.16
7.18,45.73
1.87,26.1
1.87,14.26
0.7,6.43
10.39,80.37
7.21,65.44
8.5,75.81
0.25,5.33
11.64,98.76
9.99,77.79
2.55,25.81
2.18,14.08
2.2,17.63
3.65,26.46
6.3,45.8
5.18,34.58
3.49,32.63
7.34,71.84
1.67,25.1
3.51,15.48
4.4,48.06
5.47,40.6
9.42,81.38
2.4,10.11
6.17,50.79
7.11,60.01
0.56,0.0
7.29,64.41
2.05,29.83
0.78,4.5
11.39,100.0
11.59,90.8
9.7,86.1
3.66,7.06
1.17,33.56
8.21,80.64
5.28,39.41
1.46,0.0
5.94,50.42
0.41,0.0
10.91,91.74
3.11,28.96
7.95,54.19
3.74,41.13
6.24,57.98
6.56,62.24
2.22,17.83
11.64,78.92
9.3,84.19
11.27,87.49
10.74,72.01
7.17,70.92
11.06,100.0
1.06,8.08
2.35,40.41
0.54,5.25
3.9,27.43
4.66,31.01
3.26,42.42
9.94,71.76
4.28,41.6
3.37,21.38
6.51,47.5
1.69,23.83
9.63,73.21
0.89,3.11
11.84,100.0
9.27,90.11
2.38,25.52
0.07,0.0
9.79,73.18
8.48,68.66
8.75,73.19
9.26,64.16
0.89,14.34
4.3,35.27
1.39,0.0
10.36,73.57
7.48,54.8
3.97,31.04
0.76,24.99
3.73,32.24
3.9,22.81
8.76,72.25
7.65,57.68
10.65,88.42
5.67,51.14
1.44,23.57
8.56,68.23
9.13,89.42
6.74,62.96
9.25,66.94
5.93,69.5
6.27,53.45
5.13,32.69
0.31,18.97
1.29,31.14
0.38,2.69
7.64,56.06
3.77,28.45
6.1,55.97
10.89,99.9
2.99,29.64
4.92,40.41
9.07,87.51
2.75,18.84
0.92,17.7
3.48,24.94
1.93,19.79
11.16,88.12
9.7,77.02
7.6,57.03
10.46,97.11
9.64,69.82
2.24,10.51
10.71,100.0
6.47,61.56
9.69,53.66
10.75,80.37
3.82,12.41
1.32,1.06
2.74,0.0
5.13,39.63
9.82,67.11
10.33,83.23
0.08,0.0
6.13,49.86
5.01,35.92
2.67,36.34
1.44,25.62
4.05,40.26
11.31,87.25
3.88,50.88
6.23,34.27
8.44,53.45
4.36,34.07
11.66,100.0
11.55,90.37
3.02,22.34
5.97,33.32
3.61,38.34
3.42,36.88
0.44,11.43
7.31,52.23
6.03,41.19
0.62,0.0
3.34,27.59
10.9,76.39
2.87,11.22
1.74,9.67
5.87,42.1
11.83,89.24
2.9,27.9
8.07,65.32
9.14,70.23
2.85,24.64
8.74,59.99
4.41,36.36
7.59,62.21
7.6,45.79
6.43,61.39
1.08,0.0
10.02,81.09
3.85,42.44
2.24,27.16
0.49,4.26
7.09,53.1
8.13,74.52
0.2,8.34
6.15,42.98
2.72,13.79
7.74,41.21
2.09,18.28
8.29,65.5
4.64,48.49
11.24,93.52
1.65,26.54
4.09,25.77
1.36,22.27
11.1,83.48
10.53,92.0
3.1,10.17
7.92,65.71
9.81,58.61
6.66,50.63
6.36,55.25
2.9,18.01
1.12,0.0
10.77,94.59
10.81,85.41
7.6,55.88
4.07,32.97
4.19,59.89
8.71,81.23
10.77,97.75
10.65,89.52
9.36,76.53
7.7,37.67
1.01,1.29
1.94,10.71
10.78,67.51
7.28,46.64
0.11,0.0
1.22,9.36
7.96,71.88
0.06,11.55
1.93,19.59
6.58,43.04
8.3,47.1
7.82,45.02
2.69,8.84
8.55,59.48
2.85,21.18
3.9,21.1
8.96,75.05
7.8,60.04
10.19,81.63
7.89,74.53
6.82,42.76
1.12,13.18
4.41,35.16
3.18,22.12
